keyword,drift_total,distances
modulation,4.0,"[('1998-2002', '2003-2007', 1.0), ('2003-2007', '2008-2012', 1.0), ('2008-2012', '2013-2017', 1.0), ('2013-2017', '2023-2027', 1.0)]"
antecedent,4.0,"[('1993-1997', '2008-2012', 1.0), ('2008-2012', '2013-2017', 1.0), ('2013-2017', '2018-2022', 1.0), ('2018-2022', '2023-2027', 1.0)]"
audio,4.0,"[('1993-1997', '2008-2012', 1.0), ('2008-2012', '2013-2017', 1.0), ('2013-2017', '2018-2022', 1.0), ('2018-2022', '2023-2027', 1.0)]"
babbitt,4.0,"[('1993-1997', '2003-2007', 1.0), ('2003-2007', '2008-2012', 1.0), ('2008-2012', '2013-2017', 1.0), ('2013-2017', '2018-2022', 1.0)]"
jazz,3.992001016592714,"[('1998-2002', '2003-2007', 1.0), ('2003-2007', '2008-2012', 0.9154845745271484), ('2008-2012', '2013-2017', 0.6012441709766185), ('2013-2017', '2018-2022', 0.6043717159625277), ('2018-2022', '2023-2027', 0.8709005551264194)]"
performances,3.961324865405187,"[('1993-1997', '1998-2002', 1.0), ('1998-2002', '2003-2007', 1.0), ('2003-2007', '2008-2012', 0.5), ('2008-2012', '2013-2017', 0.75), ('2013-2017', '2018-2022', 0.7113248654051871)]"
ii,3.9082691312194293,"[('1993-1997', '1998-2002', 1.0), ('1998-2002', '2008-2012', 0.7303200550147031), ('2008-2012', '2013-2017', 0.7538170180413345), ('2013-2017', '2018-2022', 0.6913933000758161), ('2018-2022', '2023-2027', 0.7327387580875756)]"
progressions,3.9020027411965854,"[('1998-2002', '2003-2007', 0.5714285714285714), ('2003-2007', '2008-2012', 0.6220355269907727), ('2008-2012', '2013-2017', 0.894590744661054), ('2013-2017', '2018-2022', 0.8139478981161873), ('2018-2022', '2023-2027', 1.0)]"
energy,3.8867722965855407,"[('2003-2007', '2008-2012', 0.8867722965855405), ('2008-2012', '2013-2017', 1.0), ('2013-2017', '2018-2022', 1.0), ('2018-2022', '2023-2027', 1.0)]"
musicology,3.886039423540362,"[('1993-1997', '1998-2002', 0.886039423540362), ('1998-2002', '2008-2012', 1.0), ('2008-2012', '2013-2017', 1.0), ('2013-2017', '2023-2027', 1.0)]"
debussy,3.880477139066561,"[('1998-2002', '2003-2007', 0.8804771390665607), ('2003-2007', '2008-2012', 1.0), ('2008-2012', '2013-2017', 1.0), ('2013-2017', '2018-2022', 1.0)]"
patterns,3.875,"[('1993-1997', '1998-2002', 0.875), ('1998-2002', '2008-2012', 1.0), ('2008-2012', '2018-2022', 1.0), ('2018-2022', '2023-2027', 1.0)]"
bernstein,3.8709005551264193,"[('1998-2002', '2003-2007', 1.0), ('2003-2007', '2008-2012', 1.0), ('2008-2012', '2013-2017', 0.8709005551264194), ('2013-2017', '2023-2027', 1.0)]"
rock,3.86403948904583,"[('1998-2002', '2003-2007', 0.9055088817476932), ('2003-2007', '2008-2012', 0.5120499635257334), ('2008-2012', '2013-2017', 0.701857603000028), ('2013-2017', '2018-2022', 0.7446230407723754), ('2018-2022', '2023-2027', 1.0)]"
riemann,3.8585786437626908,"[('1993-1997', '1998-2002', 0.8585786437626906), ('1998-2002', '2003-2007', 1.0), ('2003-2007', '2008-2012', 1.0), ('2008-2012', '2018-2022', 1.0)]"
pulse,3.8585786437626903,"[('1998-2002', '2003-2007', 1.0), ('2003-2007', '2008-2012', 1.0), ('2008-2012', '2018-2022', 0.8585786437626904), ('2018-2022', '2023-2027', 1.0)]"
art,3.845696650037908,"[('1993-1997', '2003-2007', 1.0), ('2003-2007', '2013-2017', 0.8456966500379081), ('2013-2017', '2018-2022', 1.0), ('2018-2022', '2023-2027', 1.0)]"
rameau,3.841886116991581,"[('1993-1997', '1998-2002', 0.841886116991581), ('1998-2002', '2008-2012', 1.0), ('2008-2012', '2013-2017', 1.0), ('2013-2017', '2018-2022', 1.0)]"
bars,3.833333333333333,"[('1993-1997', '1998-2002', 1.0), ('1998-2002', '2003-2007', 1.0), ('2003-2007', '2008-2012', 0.8333333333333333), ('2008-2012', '2018-2022', 1.0)]"
phrases,3.8309691490542965,"[('2003-2007', '2008-2012', 1.0), ('2008-2012', '2013-2017', 1.0), ('2013-2017', '2018-2022', 1.0), ('2018-2022', '2023-2027', 0.8309691490542966)]"
scales,3.8174258141649444,"[('1993-1997', '1998-2002', 1.0), ('1998-2002', '2008-2012', 1.0), ('2008-2012', '2013-2017', 1.0), ('2013-2017', '2018-2022', 0.8174258141649446)]"
motion,3.8093074821508814,"[('1993-1997', '2003-2007', 1.0), ('2003-2007', '2008-2012', 1.0), ('2008-2012', '2013-2017', 1.0), ('2013-2017', '2018-2022', 0.8093074821508816)]"
participants,3.807549910270125,"[('2003-2007', '2008-2012', 0.8075499102701247), ('2008-2012', '2013-2017', 1.0), ('2013-2017', '2018-2022', 1.0), ('2018-2022', '2023-2027', 1.0)]"
movements,3.803883864861816,"[('1998-2002', '2003-2007', 1.0), ('2003-2007', '2008-2012', 1.0), ('2008-2012', '2013-2017', 0.803883864861816), ('2013-2017', '2018-2022', 1.0)]"
set classes,3.7817821097640074,"[('1993-1997', '1998-2002', 1.0), ('1998-2002', '2003-2007', 1.0), ('2003-2007', '2008-2012', 0.7817821097640076), ('2008-2012', '2013-2017', 1.0)]"
